#,codigo_subcircuito,nombre_subcircuito,codigo_circuito
1,0,MAR TERRITORIAL,0
2,000C01S01,EL PIEDRERO 1,000C01
3,01D01C01S01,CAÑARIBAMBA 1,01D01C01
4,01D01C02S01,SAN BLAS 1,01D01C01
5,01D01C03S01,BELLAVISTA 1,01D01C01
6,01D01C04S01,VERDE LOMA 1,01D01C01
7,01D01C05S01,EL VECINO 1,01D01C01
8,01D01C05S02,EL VECINO 2,01D01C01
9,01D01C06S01,BARRIAL BLANCO 1,01D01C01
10,01D01C07S01,EL SAGRARIO 1,01D01C01
11,01D01C08S01,HERMANO MIGUEL 1,01D01C01
12,01D01C08S02,HERMANO MIGUEL 2,01D01C01
13,01D01C09S01,MACHANGARA 1,01D01C01
14,01D01C10S01,QUINTA CHICA 1,01D01C01
15,01D01C11S01,TERMINAL TERRESTRE 1,01D01C01
16,01D01C12S01,TOTORACOCHA 1,01D01C01
17,01D01C13S01,GIL RAMIREZ DAVALOS 1,01D01C01
18,01D01C14S01,SAYAUSI 1,01D01C01
19,01D01C15S01,SAN JOAQUIN 1,01D01C01
20,01D01C16S01,PACCHA Y NULTI 1,01D01C01
21,01D01C17S01,RICAURTE 1,01D01C01
22,01D01C17S02,RICAURTE 2,01D01C01
23,01D01C18S01,CHECA 1,01D01C01
24,01D01C19S01,OCTAVIO CORDERO 1,01D01C01
25,01D01C20S01,SININCAY 1,01D01C01
26,01D02C01S01,YANUNCAY 1,01D02C01
27,01D02C02S01,EL SALADO 1,01D02C01
28,01D02C03S01,NARANCAY 1,01D02C01
29,01D02C04S01,SUCRE 1,01D02C01
30,01D02C05S01,MONAY 1,01D02C01
31,01D02C06S01,HUAYNA CAPAC 1,01D02C01
32,01D02C07S01,EL BATAN 1,01D02C01
33,01D02C08S01,SAN SEBASTIAN 1,01D02C01
34,01D02C09S01,CAYAMBE 1,01D02C01
35,01D02C09S02,CAYAMBE 2,01D02C01
36,01D02C09S03,CAYAMBE 3,01D02C01
37,01D02C10S01,MOLLETURO 1,01D02C01
38,01D02C12S01,BAÑOS 1,01D02C01
39,01D02C13S01,TARQUI 1,01D02C01
40,01D02C14S01,TURI 1,01D02C01
41,01D02C15S01,CUMBE 1,01D02C01
42,01D02C16S01,QUINGEO 1,01D02C01
43,01D02C17S01,SANTA ANA 1,01D02C01
44,01D02C18S01,EL VALLE 1,01D02C01
45,01D02C19S01,COCHAPAMBA 1,01D02C01
46,01D03C01S01,GIRON 1,01D03C01
47,01D03C01S02,GIRON 2,01D03C01
48,01D03C02S01,SAN RAFAEL SHARUG 1,01D03C01
49,01D03C03S01,PUCARA 1,01D03C01
50,01D03C04S01,CERRO NEGRO 1,01D03C01
51,01D03C05S01,SAN FERNANDO 1,01D03C01
52,01D03C06S01,LA UNION 1,01D03C01
53,01D04C01S01,SAN JUAN 1,01D04C01
54,01D04C02S01,JADAN 1,01D04C01
55,01D04C03S01,ZHIMAD 1,01D04C01
56,01D04C04S01,GUALACEO 1,01D04C01
57,01D04C04S02,GUALACEO 2,01D04C01
58,01D04C05S01,GUALACEO SUR 1,01D04C01
59,01D04C06S01,REMIGIO CRESPO 1,01D04C01
60,01D04C07S01,CHORDELEG 1,01D04C01
61,01D04C07S02,CHORDELEG 2,01D04C01
62,01D05C01S01,NABON 1,01D05C01
63,01D05C02S01,LAS NIEVES 1,01D05C01
64,01D05C03S01,ONA 1,01D05C01
65,01D06C01S01,DUG DUG 1,01D06C01
